StasjonsNavn,date,MaalepunktID,Lat,Lon,PostKode,AarligForbruk,ForbruksVerdi,Temperatur
Europaveien4,2021-07-31,5.2605078003148515e+20,43897.16808,7146.075359999999,2951448.0,15295152.0,954.803,0.0
Europaveien4,2021-08-31,5.2605078003148515e+20,43897.16808,7146.075359999999,2951448.0,15295152.0,1293.51,0.0
Europaveien4,2021-09-30,4.751426400284382e+20,39649.05504,6454.519679999999,2665824.0,13814976.0,1566.758,0.0
Europaveien4,2021-10-31,5.097884575305118e+20,42540.13197,6925.16174,2860207.0,14822318.0,2086.39,0.0
Europaveien4,2021-11-30,4.921120200294538e+20,41065.09272,6685.03824,2761032.0,14308368.0,2393.7,0.0
Europaveien4,2021-12-31,5.090814000304695e+20,42481.1304,6915.556799999999,2856240.0,14801760.0,1833.126,0.0
Europaveien5,2021-01-31,5.26050780031485e+20,43877.3628,7086.84552,2951448.0,14074992.0,2523.703,0.0
Europaveien5,2021-02-28,4.751426400284381e+20,39631.1664,6401.0217600000005,2665824.0,12712896.0,1955.068,0.0
Europaveien5,2021-03-31,5.253437225314427e+20,43818.38785,7077.32019,2947481.0,14056074.0,1722.456,0.0
Europaveien5,2021-04-30,5.0908140003046936e+20,42461.964,6858.2376,2856240.0,13620960.0,1300.173,0.0
Europaveien5,2021-05-31,5.26050780031485e+20,43877.3628,7086.84552,2951448.0,14074992.0,1164.982,0.0
Europaveien5,2021-06-30,5.0908140003046936e+20,42461.964,6858.2376,2856240.0,13620960.0,867.063,0.0
Europaveien5,2021-07-31,5.26050780031485e+20,43877.3628,7086.84552,2951448.0,14074992.0,1001.816,0.0
Europaveien5,2021-08-31,5.26050780031485e+20,43877.3628,7086.84552,2951448.0,14074992.0,1356.335,0.0
Europaveien5,2021-09-30,4.751426400284381e+20,39631.1664,6401.0217600000005,2665824.0,12712896.0,1645.552,0.0
Europaveien5,2021-10-31,5.097884575305117e+20,42520.93895,6867.76293,2860207.0,13639878.0,2220.696,0.0
Europaveien5,2021-11-30,4.9211202002945376e+20,41046.5652,6629.62968,2761032.0,13166928.0,2548.872,0.0
Europaveien5,2021-12-31,4.9211202002945376e+20,41046.5652,6629.62968,2761032.0,13166928.0,1943.277,0.0
Europaveien6,2021-01-31,5.26050780031485e+20,43875.0564,7077.962159999999,2951448.0,26734896.0,4441.21,0.0
Europaveien6,2021-02-28,4.751426400284381e+20,39629.0832,6392.998079999999,2665824.0,24147648.0,3526.722,0.0
Europaveien6,2021-03-31,5.253437225314427e+20,43816.08455,7068.44877,2947481.0,26698962.0,3196.21,0.0
Europaveien6,2021-04-30,5.0908140003046936e+20,42459.732,6849.640799999999,2856240.0,25872480.0,2475.073,0.0
Europaveien6,2021-05-31,5.26050780031485e+20,43875.0564,7077.962159999999,2951448.0,26734896.0,1909.989,0.0
Europaveien6,2021-06-30,5.0908140003046936e+20,42459.732,6849.640799999999,2856240.0,25872480.0,1423.425,0.0
Europaveien6,2021-07-31,5.26050780031485e+20,43875.0564,7077.962159999999,2951448.0,26734896.0,1638.8220000000001,0.0
Europaveien6,2021-08-31,5.26050780031485e+20,43875.0564,7077.962159999999,2951448.0,26734896.0,2169.872,0.0
Europaveien6,2021-09-30,4.751426400284381e+20,39629.0832,6392.998079999999,2665824.0,24147648.0,2582.606,0.0
Europaveien6,2021-10-31,5.097884575305117e+20,42518.703850000005,6859.154189999999,2860207.0,25908414.0,3432.191,0.0
Europaveien6,2021-11-30,4.9211202002945376e+20,41044.407600000006,6621.319439999999,2761032.0,25010064.0,3952.625,0.0
Europaveien6,2021-12-31,4.9211202002945376e+20,41044.407600000006,6621.319439999999,2761032.0,25010064.0,3363.111,0.0
Europaveien7,2021-01-31,5.2605078003148515e+20,43881.01584,7095.10392,2951448.0,24273744.0,3754.785,0.0
Europaveien7,2021-02-28,4.751426400284382e+20,39634.46592,6408.48096,2665824.0,21924672.0,2958.43,0.0
Europaveien7,2021-03-31,5.253437225314428e+20,43822.03598,7085.567489999999,2947481.0,24241118.0,2661.522,0.0
Europaveien7,2021-04-30,5.090814000304695e+20,42465.4992,6866.2296,2856240.0,23490720.0,2079.195,0.0
Europaveien7,2021-05-31,5.2605078003148515e+20,43881.01584,7095.10392,2951448.0,24273744.0,1948.421,0.0
Europaveien7,2021-06-30,5.090814000304695e+20,42465.4992,6866.2296,2856240.0,23490720.0,1536.67,0.0
Europaveien7,2021-07-31,5.2605078003148515e+20,43881.01584,7095.10392,2951448.0,24273744.0,1728.89,0.0
Europaveien7,2021-08-31,5.2605078003148515e+20,43881.01584,7095.10392,2951448.0,24273744.0,2202.839,0.0
Europaveien7,2021-09-30,4.751426400284382e+20,39634.46592,6408.48096,2665824.0,21924672.0,2554.065,0.0
Europaveien7,2021-10-31,5.097884575305118e+20,42524.479060000005,6875.76603,2860207.0,23523346.0,3353.109,0.0
Europaveien7,2021-11-30,4.921120200294538e+20,41049.982560000004,6637.35528,2761032.0,22707696.0,3791.309,0.0
Europaveien7,2021-12-31,5.090814000304695e+20,42465.4992,6866.2296,2856240.0,23490720.0,2910.622,0.0
Europaveien8,2021-01-31,5.2605078003148515e+20,43886.38008,7113.24264,2951448.0,30082896.0,4761.309,0.0
Europaveien8,2021-02-28,4.751426400284382e+20,39639.31104,6424.86432,2665824.0,27171648.0,3701.609,0.0
Europaveien8,2021-03-31,5.253437225314428e+20,43827.39301,7103.68183,2947481.0,30042462.0,3278.176,0.0
Europaveien8,2021-04-30,5.090814000304695e+20,42470.6904,6883.7832,2856240.0,29112480.0,2491.712,0.0
Europaveien8,2021-05-31,5.2605078003148515e+20,43886.38008,7113.24264,2951448.0,30082896.0,2330.713,0.0
Europaveien8,2021-06-30,5.090814000304695e+20,42470.6904,6883.7832,2856240.0,29112480.0,1762.887,0.0
Europaveien8,2021-07-31,5.2605078003148515e+20,43886.38008,7113.24264,2951448.0,30082896.0,2016.358,0.0
Europaveien8,2021-08-31,5.2605078003148515e+20,43886.38008,7113.24264,2951448.0,30082896.0,2664.441,0.0
Europaveien8,2021-09-30,4.751426400284382e+20,39639.31104,6424.86432,2665824.0,27171648.0,3166.764,0.0
Europaveien8,2021-10-31,5.097884575305118e+20,42529.67747,6893.34401,2860207.0,29152914.0,4223.701,0.0
Europaveien8,2021-11-30,4.921120200294538e+20,41055.000720000004,6654.32376,2761032.0,28142064.0,4836.209,0.0
Europaveien8,2021-12-31,5.090814000304695e+20,42470.6904,6883.7832,2856240.0,29112480.0,2801.76,0.0
Europaveien9,2021-01-31,5.2605078003148515e+20,43890.7548,7125.302879999999,2951448.0,20137848.0,3217.465,0.0
Europaveien9,2021-02-28,4.751426400284382e+20,39643.2624,6435.757439999999,2665824.0,18189024.0,2494.19,0.0
Europaveien9,2021-03-31,5.253437225314428e+20,43831.76185,7115.72586,2947481.0,20110781.0,2192.565,0.0
Europaveien9,2021-04-30,5.090814000304695e+20,42474.924,6895.4544,2856240.0,19488240.0,1651.944,0.0
Europaveien9,2021-05-31,5.2605078003148515e+20,43890.7548,7125.302879999999,2951448.0,20137848.0,1522.0,0.0
Europaveien9,2021-06-30,5.090814000304695e+20,42474.924,6895.4544,2856240.0,19488240.0,1145.034,0.0
Europaveien9,2021-07-31,5.2605078003148515e+20,43890.7548,7125.302879999999,2951448.0,20137848.0,1316.461,0.0
Europaveien9,2021-08-31,5.2605078003148515e+20,43890.7548,7125.302879999999,2951448.0,20137848.0,1762.123,0.0
Europaveien9,2021-09-30,4.751426400284382e+20,39643.2624,6435.757439999999,2665824.0,18189024.0,2122.451,0.0
Europaveien9,2021-10-31,5.097884575305118e+20,42533.91695,6905.031419999999,2860207.0,19515307.0,2843.3269999999998,0.0
Europaveien9,2021-11-30,4.921120200294538e+20,41059.0932,6665.605919999999,2761032.0,18838632.0,3260.16,0.0
Europaveien9,2021-12-31,5.090814000304695e+20,42474.924,6895.4544,2856240.0,19488240.0,2984.617,0.0
Fløyheia,2021-01-31,5.26050780056857e+20,43620.21408,6619.78464,3606912.0,297230976.0,27940.8,-2786.1
Fløyheia,2021-02-28,4.751426400513547e+20,39398.90304,5979.16032,3257856.0,268466688.0,31022.4,-1431.2
Fløyheia,2021-03-31,5.253437225567806e+20,43561.58476,6610.88708,3602064.0,296831472.0,34152.0,2731.7
Fløyheia,2021-04-30,5.0908140005502294e+20,42213.1104,6406.2432,3490560.0,287642880.0,42277.2,3543.3
Fløyheia,2021-05-31,5.26050780056857e+20,43620.21408,6619.78464,3606912.0,297230976.0,40072.8,7030.8
Fløyheia,2021-06-30,5.0908140005502294e+20,42213.1104,6406.2432,3490560.0,287642880.0,45943.2,11415.6
Fløyheia,2021-07-31,5.26050780056857e+20,43620.21408,6619.78464,3606912.0,297230976.0,46358.4,13619.6
Fløyheia,2021-08-31,5.26050780056857e+20,43620.21408,6619.78464,3606912.0,297230976.0,40339.2,11274.5
Fløyheia,2021-09-30,4.751426400513547e+20,39398.90304,5979.16032,3257856.0,268466688.0,27678.0,8639.3
Fløyheia,2021-10-31,5.097884575550993e+20,42271.73972,6415.14076,3495408.0,288042384.0,23818.4,6563.7
Fløyheia,2021-11-30,4.921120200531888e+20,40806.00672,6192.70176,3374208.0,278054784.0,20212.4,2766.7
Fløyheia,2021-12-31,5.0908140005502294e+20,42213.1104,6406.2432,3490560.0,287642880.0,25219.2,-1383.1
